reset_request_reposts_pass form=ufld_obstacle_sim_unit  mmod=reset_request_reposts_pass  grade=pass  eval=true  known=pts={14.9,19.1:16.2,17.8:16.2,16:14.9,14.7:13.1,14.7:11.8,16:11.8,17.8:13.1,19.1},label=ob_0  given=pts={14.9,19.1:16.2,17.8:16.2,16:14.9,14.7:13.1,14.7:11.8,16:11.8,17.8:13.1,19.1},label=ob_0  tracked=$[TRACKED_FEATURE_ALPHA]  mhash=[THIN-DUET]
reset_post_points_no_given_pass form=ufld_obstacle_sim_unit  mmod=reset_post_points_no_given_pass  grade=pass  eval=true  known=pts={14.9,19.1:16.2,17.8:16.2,16:14.9,14.7:13.1,14.7:11.8,16:11.8,17.8:13.1,19.1},label=ob_0  given=$[GIVEN_OBSTACLE]  tracked=$[TRACKED_FEATURE_ALPHA]  mhash=[GRIM-REST]
reset_reuse_ids_false_pass form=ufld_obstacle_sim_unit  mmod=reset_reuse_ids_false_pass  grade=pass  eval=true  known=pts={14.9,19.1:16.2,17.8:16.2,16:14.9,14.7:13.1,14.7:11.8,16:11.8,17.8:13.1,19.1},label=ob_1  given=pts={14.9,19.1:16.2,17.8:16.2,16:14.9,14.7:13.1,14.7:11.8,16:11.8,17.8:13.1,19.1},label=ob_1  tracked=$[TRACKED_FEATURE_ALPHA]  mhash=[GAMY-MENU]
reset_request_inside_blocked_pass form=ufld_obstacle_sim_unit  mmod=reset_request_inside_blocked_pass  grade=pass  eval=true  known=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  given=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  tracked=$[TRACKED_FEATURE_ALPHA]  mhash=[NUMB-WIND]
reset_interval_wait_blocked_pass form=ufld_obstacle_sim_unit  mmod=reset_interval_wait_blocked_pass  grade=pass  eval=true  known=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  given=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  tracked=$[TRACKED_FEATURE_ALPHA]  mhash=[DAMP-MARY]
reset_interval_exit_pass form=ufld_obstacle_sim_unit  mmod=reset_interval_exit_pass  grade=pass  eval=true  known=pts={46.2,-17:47.3,-18.1:47.3,-19.7:46.2,-20.8:44.6,-20.8:43.5,-19.7:43.5,-18.1:44.6,-17},label=ob_0  given=pts={46.2,-17:47.3,-18.1:47.3,-19.7:46.2,-20.8:44.6,-20.8:43.5,-19.7:43.5,-18.1:44.6,-17},label=ob_0  tracked=$[TRACKED_FEATURE_ALPHA]  mhash=[MALE-BUNK]
reset_post_visuals_false_pass form=ufld_obstacle_sim_unit  mmod=reset_post_visuals_false_pass  grade=pass  eval=true  known=pts={46.2,-17:47.3,-18.1:47.3,-19.7:46.2,-20.8:44.6,-20.8:43.5,-19.7:43.5,-18.1:44.6,-17},label=ob_0  given=pts={46.2,-17:47.3,-18.1:47.3,-19.7:46.2,-20.8:44.6,-20.8:43.5,-19.7:43.5,-18.1:44.6,-17},label=ob_0  tracked=$[TRACKED_FEATURE_ALPHA]  mhash=[TAME-DOGS]
reset_range_boundary_blocked_pass form=ufld_obstacle_sim_unit  mmod=reset_range_boundary_blocked_pass  grade=pass  eval=true  known=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  given=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  tracked=$[TRACKED_FEATURE_ALPHA]  mhash=[SURE-HOAX]
region_visual_style_pass form=ufld_obstacle_sim_unit  mmod=region_visual_style_pass  grade=pass  eval=true  known=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  given=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  tracked=$[TRACKED_FEATURE_ALPHA]  mhash=[RUBY-IAGO]
poly_visual_zero_sizes_pass form=ufld_obstacle_sim_unit  mmod=poly_visual_zero_sizes_pass  grade=pass  eval=true  known=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  given=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  tracked=$[TRACKED_FEATURE_ALPHA]  mhash=[OKAY-SALE]
sensor_range_broad_far_pass form=ufld_obstacle_sim_unit  mmod=sensor_range_broad_far_pass  grade=pass  eval=true  known=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  given=$[GIVEN_OBSTACLE]  tracked=x=11,y=-6,key=ufos_a  mhash=[INKY-SNAG]
obstacle_visual_style_pass form=ufld_obstacle_sim_unit  mmod=obstacle_visual_style_pass  grade=pass  eval=true  known=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  given=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  tracked=$[TRACKED_FEATURE_ALPHA]  mhash=[TEDS-ARMY]
missing_obstacle_file_absent_pass form=ufld_obstacle_sim_unit  mmod=missing_obstacle_file_absent_pass  grade=pass  eval=true  known=$[KNOWN_OBSTACLE]  given=$[GIVEN_OBSTACLE]  tracked=$[TRACKED_FEATURE_ALPHA]  mhash=[IRON-PLUG]
